# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Extracted from the official PDF. 2649 entries. Example sentences deliberately EXCLUDED (copyright);
# only factual lemma data is kept (headword, article, plural, Partizip II, auxiliary) + an English gloss.
# Conventions:  N = Nomen (article + plural, reconstructed from the list's umlaut markers)
#               V = Verb  (partizip_2 + hilfsverb = haben/sein)
#               X = adjective / adverb / particle / phrase
# STATUS: grammar 100% complete for all 2649. English meanings authored so far: 207/2649 (alphabetical; A done).
#         Empty 'english' = still needs a gloss. 'index' is the stable key — author meanings against it.
index	pos	article	word	plural	partizip_2	hilfsverb	english
1632	N	das	Parfüm	Parfüms			
1633	N	der	Park	Parks			
1634	V		parken		geparkt	haben	
1635	N	das	Parkhaus	Parkhäuser			
1636	N	der	Parkplatz	Parkplätze			
1637	N	die	Parkuhr	Parkuhren			
1638	N	der	Partner	Partner			
1639	N	die	Party	Partys			
1640	N	der	Pass	Pässe			
1641	N	der	Passagier	Passagiere			
1642	V		passen		gepasst	haben	
1643	V		passieren		passiert	sein	
1644	X		passiv				
1645	N	der	Patient	Patienten			
1646	N	die	Pause	Pausen			
1647	N	das	Pech				
1648	N	die	Pension	Pensionen			
1649	X		pensioniert				
1650	X		per				
1651	X		perfekt				
1652	N	die	Person	Personen			
1653	X		persönlich				
1654	N	das	Personal				
1655	N	der	Pfeffer				
1656	N	das	Pferd	Pferde			
1657	N	die	Pflanze	Pflanzen			
1658	N	das	Pflaster	Pflaster			
1659	N	die	Pflaume	Pflaumen			
1660	V		pflegen		gepflegt	haben	
1661	N	der	Pfleger	Pfleger			
1662	N	die	Pflegeversicherung	Pflegeversicherungen			
1663	N	die	Pflicht	Pflichten			
1664	N	die	Phantasie	Phantasien			
1665	N	die	Philosophie	Philosophien			
1666	N	die	Physik				
1667	N	das	Picknick	Picknicks			
1668	N	die	Pille	Pillen			
1669	N	der	Pilz	Pilze			
1670	N	der	PKW	PKWs			
1671	V		planen		geplant	haben	
1672	N	der	Plan	Pläne			
1673	N	das	Plastik				
1674	N	der	Platz	Plätze			
1675	X		plötzlich				
1676	N	die	Politik				
1677	N	der	Politiker	Politiker			
1678	X		politisch				
1679	N	die	Polizei				
1680	N	der	Polizist	Polizisten			
1681	N	die	Pommes	Pommesfrites			
1682	N	die	Portion	Portionen			
1683	X		positiv				
1684	N	die	Post				
1685	N	das	Postfach	Postfächer			
1686	N	die	Postkarte	Postkarten			
1687	N	die	Postleitzahl	Postleitzahlen			
1688	N	das	Praktikum	Praktika			
1689	N	der	Praktikant	Praktikanten			
1690	X		praktisch				
1691	X		präsentieren				
1692	N	die	Praxis				
1693	N	der	Preis	Preise			
1694	X		preiswert				
1695	X		prima				
1696	X		privat				
1697	X		pro				
1698	V		probieren		probiert	haben	
1699	N	das	Problem	Probleme			
1700	V		produzieren		produziert	haben	
1701	N	das	Produkt	Produkte			
1702	N	die	Produktion				
1703	N	der	Professor	Professoren			
1704	N	der	Profi	Profis			
1705	N	das	Programm	Programme			
1706	N	das	Projekt	Projekte			
1707	N	der	Prospekt	Prospekte			
1708	X		Prost				
1709	V		protestieren		protestiert	haben	
1710	N	der	Protest	Proteste			
1711	N	der	Prozess	Prozesse			
1712	V		prüfen		geprüft	haben	
1713	N	die	Prüfung	Prüfungen			
1714	N	das	Publikum				
1715	N	der	Pullover	Pullover			
1716	N	der	Punkt	Punkte			
1717	X		pünktlich				
1718	N	die	Puppe	Puppen			
1719	V		putzen		geputzt	haben	
1720	N	die	Qualifikation	Qualifikationen			
1721	N	die	Qualität	Qualitäten			
1722	N	der	Quark				
1723	N	das	Quartal	Quartale			
1724	N	der	Quatsch				
1725	X		quer				
1726	N	die	Querstraße	Querstraßen			
1727	N	die	Quittung	Quittungen			
1728	N	der	Rabatt	Rabatte			
1729	N	das	Rad	Räder			
1730	X		Rad fahren				
1731	N	der	Radfahrer	Radfahrer			
1732	N	das	Radio	Radios			
1733	N	der	Rand	Ränder			
1734	V		rasieren		rasiert	haben	
1735	V		raten		geraten	haben	
1736	N	der	Rat				
1737	X		Ratschlag				
1738	N	das	Rathaus	Rathäuser			
1739	V		rauchen		geraucht	haben	
1740	N	der	Raucher	Raucher			
1741	N	der	Raum	Räume			
1742	V		reagieren		reagiert	haben	
1743	N	die	Reaktion	Reaktionen			
1744	N	die	Realität	Realitäten			
1745	X		realistisch				
1746	V		rechnen		gerechnet	haben	
1747	N	der	Rechner	Rechner			
1748	N	die	Rechnung	Rechnungen			
1749	N	das	Recht	Rechte			
1750	X		rechtlich				
1751	N	der	Rechtsanwalt	Rechtsanwälte			
1752	X		recht				
1753	X		rechts				
1754	X		recht-				
1755	X		rechtzeitig				
1756	V		reden		geredet	haben	
1757	N	die	Rede	Reden			
1758	V		reduzieren		reduziert	haben	
1759	N	die	Reform	Reformen			
1760	N	das	Regal	Regale			
1761	N	die	Regel	Regeln			
1762	X		regelmäßig				
1763	V		regeln		geregelt	haben	
1764	V		regnen		geregnet	haben	
1765	N	der	Regen				
1766	N	die	Region	Regionen			
1767	X		regional				
1768	X		reich				
1769	V		reichen		gereicht	haben	
1770	X		reif				
1771	N	der	Reifen	Reifen			
1772	N	die	Reihe	Reihen			
1773	X		rein				
1774	V		reinigen		gereinigt	haben	
1775	N	die	Reinigung	Reinigungen			
1776	N	der	Reis				
1777	V		reisen		gereist	sein	
1778	N	die	Reise	Reisen			
1779	N	das	Reisebüro	Reisebüros			
1780	V		reiten		geritten	sein	
1781	N	der	Rekord	Rekorde			
1782	X		relativ				
1783	V		rennen		gerannt	sein	
1784	V		renovieren		renoviert	haben	
1785	N	die	Rente	Renten			
1786	N	der	Rentner	Rentner			
1787	V		reparieren		repariert	haben	
1788	N	die	Reparatur	Reparaturen			
1789	V		reservieren		reserviert	haben	
1790	N	die	Reservierung	Reservierungen			
1791	N	der	Rest	Reste			
1792	N	das	Restaurant	Restaurants			
1793	V		retten		gerettet	haben	
1794	N	das	Rezept	Rezepte			
1795	N	die	Rezeption	Rezeptionen			
1796	N	der	Rhythmus	Rhythmen			
1797	N	der	Richter	Richter			
1798	X		richtig				
1799	N	die	Richtung	Richtungen			
1800	V		riechen		gerochen	haben	
1801	X		riesig				
1802	N	das	Rind	Rinder			
1803	N	der	Ring	Ringe			
1804	N	das	Risiko	Risiken			
1805	N	der	Rock	Röcke			
1806	X		roh				
1807	N	der	Roman	Romane			
1808	N	die	Rose	Rosen			
1809	X		rot				
1810	N	die	Rückfahrt				
1811	N	die	Rückkehr				
1812	N	der	Rücken	Rücken			
1813	X		rücken				
1814	N	der	Rucksack	Rucksäcke			
1815	N	die	Rücksicht	Rücksichten			
1816	X		rückwärts				
1817	V		rufen		gerufen	haben	
1818	N	die	Ruhe				
1819	X		ruhig				
1820	V		rühren		gerührt	haben	
1821	X		rund				
1822	N	der	Rundfunk				
1823	N	der	Saal	Säle			
1824	N	die	Sache	Sachen			
1825	N	der	Sack	Säcke			
1826	N	der	Saft	Säfte			
1827	V		sagen		gesagt	haben	
1828	N	die	Sahne				
1829	N	die	Saison	Saisons			
1830	N	der	Salon	Salons			
1831	N	der	Salat	Salate			
1832	N	die	Salbe	Salben			
1833	N	das	Salz				
1834	V		sammeln		gesammelt	haben	
1835	X		sämtlich				
1836	N	der	Sand				
1837	N	der	Sänger	Sänger			
1838	X		satt				
1839	N	der	Satz	Sätze			
1840	X		sauber				
1841	X		sauer				
1842	N	die	Schachtel	Schachteln			
1843	X		schade				
1844	V		schaden		geschadet	haben	
1845	N	der	Schaden	Schäden			
1846	V		schaffen		geschafft	haben	
1847	V		schalten		geschaltet	haben	
1848	N	der	Schalter	Schalter			
1849	X		scharf				
1850	N	der	Schatten				
1851	V		schätzen		geschätzt	haben	
1852	V		schauen		geschaut	haben	
1853	N	das	Schaufenster	Schaufenster			
1854	N	der	Schauspieler	Schauspieler			
1855	N	die	Scheibe	Scheiben			
1856	V		sich scheiden lassen		sich scheiden lassen	haben	
1857	V		geschieden sein		geschieden	sein	
1858	N	die	Scheidung	Scheidungen			
1859	N	der	Schein	Scheine			
1860	V		scheinen		geschienen	haben	
1861	V		schenken		geschenkt	haben	
1862	N	die	Schere	Scheren			
1863	N	die	Schicht	Schichten			
1864	X		schick				
1865	V		schicken		geschickt	haben	
1866	V		schieben		geschoben	haben	
1867	X		schief				
1868	V		schießen		geschossen	haben	
1869	N	das	Schiff	Schiffe			
1870	N	das	Schild	Schilder			
1871	V		schimpfen		geschimpft	haben	
1872	X		Schinken				
1873	N	der	Schirm	Schirme			
1874	V		schlafen		geschlafen	haben	
1875	N	der	Schlaf				
1876	V		schlagen		geschlagen	haben	
1877	N	die	Schlange	Schlangen			
1878	X		schlank				
1879	X		schlecht				
1880	V		schließen		geschlossen	haben	
1881	X		schließlich				
1882	N	das	Schloss	Schlösser			
1883	N	der	Schluss				
1884	N	der	Schlüssel	Schlüssel			
1885	X		schlimm				
1886	X		schmal				
1887	V		schmecken		geschmeckt	haben	
1888	N	der	Schmerz	Schmerzen			
1889	N	das	Schmerzmittel	Schmerzmittel			
1890	N	der	Schmuck				
1891	X		schmutzig				
1892	N	der	Schnee				
1893	V		schneien		geschneit	haben	
1894	V		schneiden		geschnitten	haben	
1895	X		schnell				
1896	N	das	Schnitzel	Schnitzel			
1897	N	der	Schnupfen				
1898	N	die	Schokolade				
1899	X		schon				
1900	X		schön				
1901	N	der	Schrank	Schränke			
1902	N	der	Schreck				
1903	X		schrecklich				
1904	V		schreiben		geschrieben	haben	
1905	X		aufschreiben				
1906	N	das	Schreiben	Schreiben			
1907	N	der	Schreibtisch	Schreibtische			
1908	V		schreien		geschrien	haben	
1909	N	die	Schrift	Schriften			
1910	X		schriftlich				
1911	N	der	Schritt	Schritte			
1912	N	der	Schuh	Schuhe			
1913	N	die	Schuld	Schulden			
1914	V		schuld sein		schuld gewesen	sein	
1915	X		schuldig				
1916	N	die	Schule	Schulen			
1917	N	der	Schüler	Schüler			
1918	N	die	Schulter	Schultern			
1919	V		schützen		geschützt	haben	
1920	N	der	Schutz				
1921	X		schwach				
1922	X		schwanger				
1923	N	die	Schwangerschaft	Schwangerschaften			
1924	X		schwarz				
1925	N	das	Schwein	Schweine			
1926	X		schwer				
1927	N	die	Schwester	Schwestern			
1928	X		Schwieger-				
1929	X		schwierig				
1930	N	die	Schwierigkeit	Schwierigkeiten			
1931	V		schwimmen		geschwommen	sein	
1932	N	das	Schwimmbad	Schwimmbäder			
1933	V		schwitzen		geschwitzt	haben	
1934	N	der	See	Seen			
1935	N	die	Nordsee				
1936	V		sehen		gesehen	haben	
1937	N	die	Sehenswürdigkeit	Sehenswürdigkeiten			
1938	X		sehr				
1939	N	die	Seife	Seifen			
1940	V		sein		gewesen	sein	
1941	X		seit				
1942	X		seitdem				
1943	N	die	Seite	Seiten			
1944	N	die	Sekretärin	Sekretärinnen			
1945	X		selb				
1946	X		selbst				
1947	X		selbstständig				
1948	X		selbstverständlich				
1949	X		selten				
1950	N	das	Semester	Semester			
1951	V		senden		gesandt	haben	
1952	N	der	Sender	Sender			
1953	N	die	Sendung	Sendungen			
1954	N	die	Senioren				
1955	X		senkrecht				
1956	N	die	Serie	Serien			
1957	N	der	Service				
1958	N	der	Sessel	Sessel			
1959	V		setzen		gesetzt	haben	
1960	X		sicher				
1961	N	die	Sicherheit				
1962	V		sichern		gesichert	haben	
1963	X		sichtbar				
1964	N	der	Sieg	Siege			
1965	N	der	Sieger	Sieger			
1966	V		singen		gesungen	haben	
1967	V		sinken		gesunken	sein	
1968	N	der	Sinn				
1969	N	die	Situation	Situationen			
1970	V		sitzen		gesessen	haben	
1971	N	der	Sitz	Sitze			
1972	N	der	Ski	Skier			
1973	N	die	SMS				
1974	X		so				
1975	X		sobald				
1976	N	die	Socke	Socken			
1977	X		sodass				
1978	N	das	Sofa	Sofas			
1979	X		sofort				
1980	N	die	Software				
1981	X		sogar				
1982	N	der	Sohn	Söhne			
1983	X		solange				
1984	X		solch				
1985	V		sollen		gesollt/… sollen	haben	
1986	N	das	Sonderangebot	Sonderangebote			
1987	X		sondern				
1988	N	die	Sonne				
1989	X		sonst				
1990	X		sonstig				
1991	V		sorgen		gesorgt	haben	
1992	N	die	Sorge	Sorgen			
1993	N	die	Soße	Soßen			
1994	N	das	Souvenir	Souvenirs			
1995	X		soviel				
1996	X		so viel/so viel wie				
1997	X		sowieso				
1998	X		sowohl … als auch				
1999	N	das	Sozialamt	Sozialämter			
2000	N	der	Sozialarbeiter	Sozialarbeiter			
2001	N	die	Sozialhilfe				
2002	X		spannend				
2003	V		sparen		gespart	haben	
2004	X		sparsam				
2005	N	der	Spaß				
2006	X		spät				
2007	X		spätestens				
2008	V		spazieren gehen		spazieren gegangen	sein	
2009	N	der	Spaziergang	Spaziergänge			
2010	V		speichern		gespeichert	haben	
2011	X		Speise-/-speise				
2012	N	die	Speisekarte	Speisekarten			
2013	N	der	Speisewagen	Speisewagen			
2014	N	die	Vorspeise	Vorspeisen			
2015	X		Spezial				
2016	N	der	Spezialist	Spezialisten			
2017	X		speziell				
2018	N	der	Spiegel	Spiegel			
2019	V		spielen		gespielt	haben	
2020	N	das	Spiel	Spiele			
2021	N	der	Spieler	Spieler			
2022	N	der	Spielplatz	Spielplätze			
2023	N	das	Spielzeug				
2024	X		spitz				
2025	N	der	Sport				
2026	N	die	Sportart	Sportarten			
2027	N	der	Sportler	Sportler			
2028	X		sportlich				
2029	N	die	Sprache	Sprachen			
2030	N	die	Muttersprache	Mutterspracheen			
2031	V		sprechen		gesprochen	haben	
2032	N	die	Sprechstunde	Sprechstunden			
2033	V		springen		gesprungen	sein	
2034	N	die	Spritze	Spritzen			
2035	V		spülen		gespült	haben	
2036	N	die	Spülmaschine	Spülmaschinen			
2037	N	die	Spur	Spuren			
2038	V		spüren		gespürt	haben	
2039	N	der	Staat	Staaten			
2040	X		staatlich				
2041	N	die	Staatsangehörigkeit				
2042	N	das	Stadion	Stadien			
2043	N	die	Stadt	Städte			
2044	X		städtisch				
2045	N	der	Stadtplan	Stadtpläne			
2046	V		stammen		gestammt	haben	
2047	N	das	Standesamt	Standesämter			
2048	X		ständig				
2049	N	der	Standpunkt	Standpunkte			
2050	N	der	Star	Stars			
2051	X		stark				
2052	V		starten		gestartet	sein	
2053	N	der	Start	Starts			
2054	N	die	Station	Stationen			
2055	X		statt				
2056	V		stattfinden		stattgefunden	haben	
2057	N	der	Stau	Staus			
2058	N	der	Staub				
2059	N	das	Steak	Steaks			
2060	V		stecken		gesteckt	haben	
2061	N	die	Steckdose	Steckdosen			
2062	N	der	Stecker	Stecker			
2063	V		stehen		gestanden	haben	
2064	X		stehen bleiben				
2065	V		stehlen		gestohlen	haben	
2066	V		steigen		gestiegen	sein	
2067	X		steil				
2068	N	der	Stein	Steine			
2069	N	die	Stelle	Stellen			
2070	V		stellen		gestellt	haben	
2071	N	der	Stempel	Stempel			
2072	V		sterben		gestorben	sein	
2073	N	der	Stern	Sterne			
2074	N	die	Steuer	Steuern			
2075	X		still				
2076	N	der	Stiefel	Stiefel			
2077	N	die	Stimme	Stimmen			
2078	V		stimmen		gestimmt	haben	
2079	N	die	Stimmung	Stimmungen			
2080	N	die	Stirn	Stirnen			
2081	V		stinken		gestunken	haben	
2082	N	der	Stock				
2083	N	das	Stockwerk	Stockwerke			
2084	N	der	Stoff	Stoffe			
2085	X		stolz				
2086	V		stoppen		gestoppt	haben	
2087	V		stören		gestört	haben	
2088	N	die	Störung	Störungen			
2089	V		stoßen		gestoßen	haben	
2090	N	die	Strafe	Strafen			
2091	N	der	Strafzettel	Strafzettel			
2092	N	der	Strand	Strände			
2093	N	die	Straße	Straßen			
2094	N	die	Straßenbahn	Straßenbahnen			
2095	N	die	Strecke	Strecken			
2096	V		streichen		gestrichen	haben	
2097	N	das	Streichholz	Streichhölzer			
2098	V		streiken		gestreikt	haben	
2099	N	der	Streik	Streiks			
2100	V		streiten		gestritten	haben	
2101	N	der	Streit				
2102	X		streng				
2103	N	der	Stress				
2104	N	der	Strom				
2105	N	der	Strumpf	Strümpfe			
2106	N	das	Stück	Stücke			
2107	V		studieren		studiert	haben	
2108	N	der	Student	Studenten			
2109	N	das	Studium	Studien			
2110	N	das	Studio	Studios			
2111	N	die	Stufe	Stufen			
2112	N	der	Stuhl	Stühle			
2113	X		stumm				
2114	N	die	Stunde	Stunden			
2115	N	der	Sturm	Stürme			
2116	V		stürzen		gestürzt	sein	
2117	V		suchen		gesucht	haben	
2118	N	der	Süden				
2119	X		südlich				
2120	N	der	Supermarkt	Supermärkte			
2121	N	die	Suppe	Suppen			
2122	X		süß				
2123	N	das	Symbol	Symbole			
2124	X		sympathisch				
2125	N	das	System	Systeme			
2126	N	die	Tabelle	Tabellen			
2127	N	die	Tablette	Tabletten			
2128	N	die	Tafel	Tafeln			
2129	N	der	Tagesablauf	Tagesabläufe			
2130	N	die	Tagesmutter	Tagesmütter			
2131	N	das	Tal	Täler			
2132	V		tanken		getankt	haben	
2133	N	die	Tankstelle	Tankstellen			
2134	N	die	Tante	Tanten			
2135	V		tanzen		getanzt	haben	
2136	N	der	Tanz	Tänze			
2137	N	der	Tarif	Tarife			
2138	N	die	Tasche	Taschen			
2139	N	das	Taschentuch	Taschentücher			
2140	N	die	Tasse	Tassen			
2141	N	die	Taste	Tasten			
2142	N	die	Tastatur	Tastaturen			
2143	N	die	Tat	Taten			
2144	N	der	Täter	Täter			
2145	N	die	Tätigkeit	Tätigkeiten			
2146	V		täuschen		getäuscht	haben	
2147	N	das	Taxi	Taxis			
2148	N	das	Team	Teams			
2149	N	die	Technik	Techniken			
2150	X		technisch				
2151	N	der	Tee				
2152	N	das	Teil	Teile			
2153	N	der	Teil	Teile			
2154	N	die	Teilzeit				
2155	V		teilen		geteilt	haben	
2156	V		teilnehmen		teilgenommen	haben	
2157	N	die	Teilnahme	Teilnahmen			
2158	N	der	Teilnehmer	Teilnehmer			
2159	X		teilweise				
2160	V		telefonieren		telefoniert	haben	
2161	N	das	Telefon	Telefone			
2162	N	der	Teller	Teller			
2163	N	die	Temperatur	Temperaturen			
2164	N	das	Tempo				
2165	N	das	Tennis				
2166	N	der	Teppich	Teppiche			
2167	N	der	Termin	Termine			
2168	N	die	Terrasse	Terrassen			
2169	V		testen		getestet	haben	
2170	N	der	Test	Tests			
2171	X		teuer				
2172	N	der	Text	Texte			
2173	N	das	Theater	Theater			
2174	N	das	Thema	Themen			
2175	X		theoretisch				
2176	N	die	Therapie	Therapien			
2177	N	das	Ticket	Tickets			
2178	X		tief				
2179	N	das	Tier	Tiere			
2180	N	das	Haustier	Haustiere			
2181	N	der	Tierpark	Tierparks			
2182	N	der	Tipp	Tipps			
2183	N	der	Tisch	Tische			
2184	N	der	Titel	Titel			
2185	N	die	Tochter	Töchter			
2186	N	der	Tod				
2187	X		tödlich				
2188	N	die	Toilette	Toiletten			
2189	X		tolerant				
2190	X		toll				
2191	N	die	Tomate	Tomaten			
2192	N	die	Tonne	Tonnen			
2193	N	das	Top	Tops			
2194	N	der	Topf	Töpfe			
2195	N	das	Tor	Tore			
2196	X		tot				
2197	N	der	Tote				
2198	X		total				
2199	N	die	Tour	Touren			
2200	N	der	Tourismus				
2201	N	der	Tourist	Touristen			
2202	N	die	Tradition	Traditionen			
2203	X		traditionell				
2204	V		tragen		getragen	haben	
2205	V		trainieren		trainiert	haben	
2206	N	der	Trainer	Trainer			
2207	N	das	Training				
2208	V		transportieren		transportiert	haben	
2209	N	der	Transport	Transporte			
2210	N	die	Trauung	Trauungen			
2211	V		träumen		geträumt	haben	
2212	N	der	Traum	Träume			
2213	X		Traum-				
2214	X		traurig				
2215	V		treffen		getroffen	haben	
2216	N	der	Treffpunkt	Treffpunkte			
2217	V		treiben		getrieben	haben	
2218	V		trennen		getrennt	haben	
2219	N	die	Trennung	Trennungen			
2220	N	die	Treppe	Treppen			
2221	V		treten		getreten	sein	
2222	X		treu				
2223	V		trinken		getrunken	haben	
2224	N	das	Trinkgeld	Trinkgelder			
2225	V		trocknen		getrocknet	haben	
2226	X		trocken				
2227	N	der	Tropfen	Tropfen			
2228	X		trotz				
2229	X		trotzdem				
2230	N	das	T-Shirt	T-Shirts			
2231	V		un		getan	haben	
2232	N	die	Tür	Türen			
2233	N	der	Turm	Türme			
2234	N	die	Tüte	Tüten			
2235	N	der	Typ	Typen			
2236	X		typisch				
2237	N	die	U-Bahn	U-Bahnen			
2238	X		üben				
2239	N	die	Übung	Übungen			
2240	X		über				
2241	X		überall				
2242	V		überfahren		überfahren	haben	
2243	X		überhaupt				
2244	V		überholen		überholt	haben	
2245	V		überlegen		überlegt	haben	
2246	X		übermorgen				
2247	V		übernachten		übernachtet	haben	
2248	N	die	Übernachtung	Übernachtungen			
2249	V		übernehmen		übernommen	haben	
2250	V		überprüfen		überprüft	haben	
2251	V		überqueren		überquert	haben	
2252	V		überraschen		überrascht	haben	
2253	N	die	Überraschung	Überraschungen			
2254	V		überreden		überredet	haben	
2255	V		übersetzen		übersetzt	haben	
2256	N	der	Übersetzer	Übersetzer			
2257	N	die	Übersetzung	Übersetzungen			
2258	N	die	Überstunde	Überstunden			
2259	V		übertragen		übertragen	haben	
2260	V		übertreiben		übertrieben	haben	
2261	V		überweisen		überwiesen	haben	
2262	N	die	Überweisung	Überweisung			
2263	V		überzeugen		überzeugt	haben	
2264	N	die	Überzeugung	Überzeugungen			
2265	X		üblich				
2266	X		übrig				
2267	X		übrigens				
2268	N	die	Uhr	Uhren			
2269	X		um				
2270	V		umarmen		umarmt	haben	
2271	X		um ... zu				
2272	V		umdrehen		umgedreht	haben	
2273	N	die	Umfrage	Umfragen			
2274	N	die	Umgebung	Umgebungen			
2275	X		umgekehrt				
2276	N	die	Umleitung	Umleitungen			
2277	X		umso				
2278	X		umsonst				
2279	V		umsteigen		umgestiegen	sein	
2280	V		umtauschen		umgetauscht	haben	
2281	N	die	Umwelt				
2282	V		umziehen		umgezogen	sein	
2283	N	der	Umzug	Umzüge			
2284	X		unbedingt				
2285	X		unfreundlich				
2286	X		und				
2287	N	der	Unfall	Unfälle			
2288	X		ungefähr				
2289	X		ungewöhnlich				
2290	X		unglaublich				
2291	N	das	Unglück				
2292	X		unheimlich				
2293	X		unten				
2294	X		unter				
2295	X		unter-				
2296	V		unterbrechen		unterbrochen	haben	
2297	V		sich unterhalten		sich unterhalten	haben	
2298	N	die	Unterhaltung	Unterhaltungen			
2299	N	die	Unterkunft	Unterkünfte			
2300	N	die	Unterlagen				
2301	V		unternehmen		unternommen	haben	
2302	V		unterrichten		unterrichtet	haben	
2303	N	der	Unterricht				
2304	V		unterscheiden		unterschieden	haben	
2305	N	der	Unterschied	Unterschiede			
2306	X		unterschiedlich				
2307	V		unterschreiben		unterschrieben	haben	
2308	N	die	Unterschrift	Unterschriften			
2309	V		unterstreichen		unterstrichen	haben	
2310	V		unterstützen		unterstützt	haben	
2311	N	die	Unterstützung	Unterstützungen			
2312	V		untersuchen		untersucht	haben	
2313	N	die	Untersuchung	Untersuchungen			
2314	X		unterwegs				
2315	N	der	Urlaub				
2316	N	die	Ursache	Ursachen			
2317	X		ursprünglich				
2318	N	das	Urteil	Urteile			
2319	N	der	Vater	Väter			
2320	X		vegetarisch				
2321	V		verabreden		verabredet	haben	
2322	X		verabredet sein				
2323	V		verabschieden		verabschiedet	haben	
2324	V		verändern		verändert	haben	
2325	N	die	Veranstaltung	Veranstaltungen			
2326	X		verantwortlich				
2327	N	die	Verantwortung				
2328	V		verbessern		verbessert	haben	
2329	V		verbieten		verboten	haben	
2330	N	das	Verbot	Verbote			
2331	V		verbinden		verbunden	haben	
2332	N	der	Verband	Verbände			
2333	N	die	Verbindung	Verbindungen			
2334	V		verbrauchen		verbraucht	haben	
2335	N	der	Verbraucher	Verbraucher			
2336	N	der	Verbrecher	Verbrecher			
2337	V		verbrennen		verbrannt	haben	
2338	V		verbringen		verbracht	haben	
2339	N	der	Verdacht				
2340	X		verdächtig				
2341	V		verdienen		verdient	haben	
2342	N	der	Verein	Vereine			
2343	V		vereinbaren		vereinbart	haben	
2344	N	das	Verfallsdatum				
2345	N	die	Vergangenheit				
2346	V		vergessen		vergessen	haben	
2347	V		vergleichen		verglichen	haben	
2348	N	der	Vergleich	Vergleiche			
2349	V		vergrößern		vergrößert	haben	
2350	V		verhaften		verhaftet	haben	
2351	V		verhalten		verhalten	haben	
2352	N	das	Verhalten				
2353	N	das	Verhältnis	Verhältnisse			
2354	X		verheiratet				
2355	V		verhindern		verhindert	haben	
2356	V		verkaufen		verkauft	haben	
2357	N	der	Verkäufer	Verkäufer			
2358	N	der	Verkehr				
2359	N	das	Verkehrsmittel	Verkehrsmittel			
2360	V		verlangen		verlangt	haben	
2361	V		verlängern		verlängert	haben	
2362	V		verlassen		verlassen	haben	
2363	X		sich verlassen auf				
2364	V		sich verlaufen		sich verlaufen	haben	
2365	V		verleihen		verliehen	haben	
2366	V		verletzen		verletzt	haben	
2367	N	die	Verletzung	Verletzungen			
2368	V		verlieben		verliebt	haben	
2369	X		verliebt sein				
2370	V		verlieren		verloren	haben	
2371	N	der	Verlust	Verluste			
2372	V		vermeiden		vermieden	haben	
2373	V		vermieten		vermietet	haben	
2374	N	der	Vermieter	Vermieter			
2375	V		vermissen		vermisst	haben	
2376	N	die	Vermittlung	Vermittlungen			
2377	X		vernünftig				
2378	V		verpacken		verpackt	haben	
2379	V		verpassen		verpasst	haben	
2380	X		verpflichtet sein				
2381	V		verreisen		verreist	sein	
2382	X		verrückt				
2383	V		verschieben		verschoben	haben	
2384	X		verschieden				
2385	V		verschreiben		verschrieben	haben	
2386	V		verschwinden		verschwunden	sein	
2387	V		versichern		versichert	haben	
2388	N	die	Versichertenkarte	Versichertenkarten			
2389	N	die	Versicherung	Versicherungen			
2390	V		versorgen		versorgt	haben	
2391	N	die	Verspätung	Verspätungen			
2392	V		versprechen		versprochen	haben	
2393	V		verstecken		versteckt	haben	
2394	V		verstehen		verstanden	haben	
2395	X		verständlich				
2396	N	das	Verständnis				
2397	V		versuchen		versucht	haben	
2398	N	der	Versuch	Versuche			
2399	V		verteilen		verteilt	haben	
2400	N	der	Vertrag	Verträge			
2401	V		vertrauen		vertraut	haben	
2402	N	das	Vertrauen				
2403	V		vertreten		vertreten	haben	
2404	N	der	Vertreter	Vertreter			
2405	N	die	Vertretung	Vertretungen			
2406	V		verurteilen		verurteilt	haben	
2407	N	die	Verwaltung	Verwaltungen			
2408	X		verwandt				
2409	N	der	Verwandte	Verwandten			
2410	V		verwechseln		verwechselt	haben	
2411	V		verwenden		verwendet	haben	
2412	X		verwitwet				
2413	N	die	Verzeihung				
2414	X		viel/viele				
2415	X		vielleicht				
2416	N	das	Visum	Visa			
2417	N	das	Vitamin	Vitamine			
2418	N	der	Vogel	Vögel			
2419	X		voll				
2420	N	die	Vollzeit				
2421	X		von				
2422	X		voneinander				
2423	X		vor				
2424	X		voraus				
2425	X		voraussichtlich				
2426	X		vorbei				
2427	V		vorbereiten		vorbereitet	haben	
2428	N	die	Vorbereitung	Vorbereitungen			
2429	X		vorder-				
2430	N	die	Vorfahrt				
2431	X		vorgestern				
2432	V		vorhaben		vorgehabt	haben	
2433	X		vorher				
2434	X		vorhin				
2435	X		vorig-				
2436	V		vorkommen		vorgekommen	sein	
2437	X		vorläufig				
2438	V		vorlesen		vorgelesen	haben	
2439	X		vorn/vorne				
2440	V		sich vornehmen		sich vorgenommen	haben	
2441	N	der	Vorort	Vororte			
2442	V		vorschlagen		vorgeschlagen	haben	
2443	N	der	Vorschlag	Vorschläge			
2444	N	die	Vorschrift	Vorschriften			
2445	N	die	Vorsicht				
2446	X		vorsichtig				
2447	V		vorstellen		vorgestellt	haben	
2448	N	die	Vorstellung	Vorstellungen			
