# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
1545	X		neu				new	Sie hat sich ein neues Fahrrad zum Geburtstag gewünscht.	She wished for a new bicycle for her birthday.	509
1546	X		neugierig				curious; inquisitive	Das Kind war sehr neugierig und stellte viele Fragen.	The child was very curious and asked many questions.	1123
1547	X		neulich				recently; the other day	Neulich habe ich eine alte Schulfreundin zufällig getroffen.	The other day I ran into an old school friend by chance.	908
1548	X		nicht				not	Ich habe das Buch nicht gelesen, weil ich keine Zeit hatte.	I didn't read the book because I didn't have time.	1
1549	N	die	Nichte	Nichten			niece	Meine Nichte feiert nächste Woche ihren fünften Geburtstag.	My niece is celebrating her fifth birthday next week.	1496
1550	N	der	Nichtraucher	Nichtraucher			non-smoker	Im Restaurant möchten wir einen Tisch im Nichtraucherbereich.	At the restaurant we would like a table in the non-smoking section.	2459
1551	X		nichts				nothing	Er hat nichts gegessen, obwohl er den ganzen Tag gearbeitet hat.	He ate nothing even though he worked the whole day.	49
1552	X		nie				never	Ich fahre nie ohne Helm Fahrrad.	I never ride my bicycle without a helmet.	79
1553	X		niedrig				low	Im Angebot sind die Preise oft sehr niedrig.	Prices are often very low in the sale.	1956
1554	X		niemand				nobody; no one	Niemand hat die Hausaufgaben gemacht außer mir.	Nobody did the homework except me.	177
1555	X		nirgends				nowhere	Ich habe meine Brille gesucht, aber sie war nirgends zu finden.	I looked for my glasses but they were nowhere to be found.	1404
1556	X		nirgendwo				nowhere	Das Handy war nirgendwo in der Wohnung zu finden.	The mobile phone was nowhere to be found in the apartment.	929
1557	X		noch				still; yet	Schläfst du noch oder bist du schon aufgestanden?	Are you still sleeping or have you already got up?	27
1558	X		nochmal				once more; again	Kannst du das bitte nochmal langsam erklären?	Can you please explain that once more slowly?	435
1559	X		nochmals				once more; again	Er bat nochmals um Entschuldigung für den Fehler.	He apologized once more for the mistake.	1555
1560	X		normal				normal	Es ist ganz normal, dass Kinder manchmal weinen.	It is completely normal for children to cry sometimes.	582
1561	X		normalerweise				normally; usually	Normalerweise esse ich morgens ein Brötchen und trinke Kaffee.	Normally I eat a bread roll and drink coffee in the morning.	859
1562	N	der	Norden				north	Hamburg liegt im Norden von Deutschland.	Hamburg is in the north of Germany.	1032
1563	X		nördlich				northern; to the north	Die Stadt liegt nördlich von Berlin.	The city is located to the north of Berlin.	1892
1564	X		Not				need; distress	In der Not hilft man einander als gute Nachbarn.	In times of need, good neighbors help each other.	1241
1565	N	die	Notaufnahme	Notaufnahmen			emergency room	Er wurde nach dem Unfall sofort in die Notaufnahme gebracht.	He was taken straight to the emergency room after the accident.	1629
1566	N	der	Notausgang	Notausgänge			emergency exit	Im Kino ist der Notausgang links neben der Leinwand.	In the cinema the emergency exit is to the left of the screen.	2427
1567	N	der	Notfall	Notfälle			emergency	Im Notfall rufen Sie bitte sofort die Nummer 112 an.	In an emergency please call the number 112 immediately.	1079
1568	N	der	Notruf				emergency call	Sie machte einen Notruf, als sie den Unfall sah.	She made an emergency call when she saw the accident.	1637
1569	X		notwendig				necessary	Es ist notwendig, den Antrag vor dem dritten April einzureichen.	It is necessary to submit the application before the third of April.	1332
1570	N	die	Note	Noten			grade; mark; note	Er hat in der Prüfung eine sehr gute Note bekommen.	He received a very good grade in the exam.	1934
1571	X		notieren				to note down; to jot down	Ich notiere mir den Termin sofort im Kalender.	I immediately note down the appointment in my calendar.	2188
1572	N	die	Notiz	Notizen			note; memo	Sie machte sich eine kurze Notiz, um es nicht zu vergessen.	She made a brief note so as not to forget it.	1940
1573	X		nötig				necessary; needed	Es ist nicht nötig, so früh am Bahnhof zu sein.	It is not necessary to be at the station so early.	485
1574	N	die	Nudel	Nudeln			noodle; pasta	Heute koche ich Nudeln mit Tomatensoße zum Mittagessen.	Today I am cooking pasta with tomato sauce for lunch.	2466
1575	N	die	Nummer	Nummern			number	Kannst du mir deine Telefonnummer geben?	Can you give me your phone number?	338
1576	X		nun				now; well	Nun müssen wir uns entscheiden, welchen Weg wir nehmen.	Now we have to decide which way to take.	97
1577	X		nur				only; just	Ich habe nur zehn Minuten Zeit, also müssen wir uns beeilen.	I only have ten minutes, so we have to hurry.	28
1578	V		nutzen		genutzt	haben	to use; to make use of	Sie nutzt jede Gelegenheit, um ihr Deutsch zu verbessern.	She makes use of every opportunity to improve her German.	809
1579	V		nützen		genützt	haben	to be of use; to benefit	Es nützt nichts, wenn du dir ständig Sorgen machst.	It is of no use to constantly worry.	1861
1580	X		nützlich				useful	Ein gutes Wörterbuch ist beim Lernen sehr nützlich.	A good dictionary is very useful when learning.	1304
1581	X		ob				whether; if	Ich weiß noch nicht, ob ich morgen kommen kann.	I don't know yet whether I can come tomorrow.	117
1582	X		oben				above; upstairs	Die Bücher stehen oben im Regal, kannst du sie herunterholen?	The books are on the top shelf, can you get them down?	261
1583	X		ober-				upper-; top-	Das Schlafzimmer befindet sich im oberen Stockwerk des Hauses.	The bedroom is on the upper floor of the house.	2045
1584	N	das	Obst				fruit	Jeden Morgen esse ich frisches Obst zum Frühstück.	Every morning I eat fresh fruit for breakfast.	1858
1585	X		obwohl				although; even though	Obwohl es regnet, gehen die Kinder draußen spielen.	Although it is raining, the children go out to play.	502
1586	X		oder				or	Möchtest du Tee oder lieber Kaffee?	Would you like tea or would you prefer coffee?	47
1587	N	der	Ofen	Öfen			oven; stove	Der Kuchen backt seit einer Stunde im Ofen.	The cake has been baking in the oven for an hour.	1549
1588	X		offen				open	Die Tür steht offen, komm einfach rein.	The door is open, just come in.	533
1589	X		öffentlich				public	In dieser Stadt sind die öffentlichen Verkehrsmittel sehr gut.	Public transport in this city is very good.	1538
1590	X		offiziell				official	Der offizielle Starttermin des Projekts ist der erste April.	The official start date of the project is the first of April.	1088
1591	V		öffnen		geöffnet	haben	to open	Er öffnet jeden Morgen um neun Uhr den Laden.	He opens the shop every morning at nine o'clock.	599
1592	X		oft/öfter				often; more often	Wir essen oft Pizza am Abend, weil es schnell geht.	We often eat pizza in the evening because it is quick.	317
1593	N	das	Obergeschoss				upper floor	Die Schlafzimmer befinden sich alle im Obergeschoss.	All the bedrooms are on the upper floor.	2471
1594	X		ohne				without	Ich verlasse das Haus nie ohne meinen Schlüssel.	I never leave the house without my key.	123
1595	N	das	Ohr	Ohren			ear	Das laute Konzert hat mir in den Ohren wehgetan.	The loud concert hurt my ears.	993
1596	X		okay				okay; alright	Ist es okay, wenn ich morgen ein bisschen später komme?	Is it okay if I come a little later tomorrow?	76
1597	X		Öko- (ökologisch)				eco-; ecological	Wir kaufen lieber ökologische Produkte, weil sie besser für die Umwelt sind.	We prefer to buy ecological products because they are better for the environment.	2623
1598	N	das	Öl	Öle			oil	Für dieses Rezept braucht man zwei Esslöffel Öl.	For this recipe you need two tablespoons of oil.	1388
1599	N	die	Oma	Omas			grandma; granny	Meine Oma backt die besten Kekse von allen.	My grandma bakes the best cookies of all.	802
1600	N	der	Onkel	Onkel			uncle	Mein Onkel lebt in München und besucht uns jedes Jahr.	My uncle lives in Munich and visits us every year.	399
1601	X		online				online	Sie kauft fast alles online, weil es bequemer ist.	She buys almost everything online because it is more convenient.	1441
1602	N	der	Opa	Opas			grandpa; granddad	Mein Opa erzählt mir immer spannende Geschichten aus seiner Kindheit.	My grandpa always tells me exciting stories from his childhood.	918
1603	N	die	Oper	Opern			opera	Am Samstag gehen wir in die Oper, um Don Giovanni zu sehen.	On Saturday we are going to the opera to see Don Giovanni.	1670
1604	V		operieren		operiert	haben	to operate; to perform surgery	Der Arzt operierte das Knie des Patienten erfolgreich.	The doctor successfully operated on the patient's knee.	1649
1605	N	die	Operation	Operationen			operation; surgery	Nach der Operation muss sie einige Wochen schonen.	After the operation she has to rest for a few weeks.	819
1606	N	das	Opfer	Opfer			victim; sacrifice	Die Polizei hilft den Opfern des Einbruchs so gut wie möglich.	The police help the victims of the break-in as best they can.	427
1607	X		optimistisch				optimistic	Sie bleibt auch in schwierigen Situationen immer optimistisch.	She always stays optimistic even in difficult situations.	2134
1608	N	die	Orange	Orangen			orange	Sie schält eine Orange und gibt mir die Hälfte davon.	She peels an orange and gives me half of it.	1728
1609	N	das	Orchester	Orchester			orchestra	Das Orchester spielte beim Stadtfest klassische Musik.	The orchestra played classical music at the city festival.	2040
1610	X		ordentlich				tidy; orderly; decent	Sein Zimmer ist immer schön ordentlich aufgeräumt.	His room is always nice and tidy.	1398
1611	V		ordnen		geordnet	haben	to sort; to arrange	Sie ordnet die Unterlagen alphabetisch in den Ordner.	She arranges the documents alphabetically in the folder.	2258
1612	N	der	Ordner	Ordner			folder; binder	Er hat alle wichtigen Dokumente in einem Ordner abgeheftet.	He filed all the important documents in a folder.	2354
1613	N	die	Ordnung				order; tidiness	Bei uns zu Hause muss immer Ordnung herrschen.	There always has to be order in our home.	139
1614	V		organisieren		organisiert	haben	to organize	Sie organisiert das Schulfest dieses Jahr zum zweiten Mal.	She is organizing the school festival for the second time this year.	1694
1615	N	die	Organisation	Organisationen			organization	Er arbeitet für eine internationale Organisation in Genf.	He works for an international organization in Geneva.	1321
1616	N	das	Original	Originale			original	Das Museum zeigt das Original des Gemäldes, nicht eine Kopie.	The museum shows the original of the painting, not a copy.	1324
1617	N	der	Ort	Orte			place; town	Das ist ein schöner Ort für einen Sommerurlaub.	This is a beautiful place for a summer holiday.	291
1618	N	der	Vorort				suburb	Wir wohnen in einem ruhigen Vorort außerhalb der Stadt.	We live in a quiet suburb outside the city.	2381
1619	N	der	Wohnort				place of residence	Bitte geben Sie Ihren Wohnort im Formular an.	Please enter your place of residence on the form.	2510
1620	X		örtlich				local; relating to a place	Die örtliche Apotheke ist am Samstag bis 14 Uhr geöffnet.	The local pharmacy is open until 2 p.m. on Saturday.	2624
1621	N	der	Osten				east	Berlin liegt im Osten Deutschlands.	Berlin is located in the east of Germany.	1211
1622	X		östlich				eastern; to the east	Das Dorf liegt östlich der Stadt.	The village is located to the east of the city.	2124
1623	X		paar				a few; some	Ich brauche nur ein paar Minuten, um fertig zu werden.	I just need a few minutes to get ready.	119
1624	N	das	Paar	Paare			pair; couple	Das Paar hat sich beim Sport kennengelernt.	The couple met while doing sports.	120
1625	N	das	Päckchen	Päckchen			small package; packet	Ich habe meiner Freundin ein Päckchen mit Schokolade geschickt.	I sent my friend a small package with chocolate.	1794
1626	V		packen		gepackt	haben	to pack; to grab	Sie packt ihren Koffer für den Urlaub.	She is packing her suitcase for the vacation.	1018
1627	N	das	Paket	Pakete			package; parcel	Das Paket aus dem Onlineshop ist heute angekommen.	The parcel from the online shop arrived today.	1418
1628	N	die	Panne	Pannen			breakdown; flat tire	Auf der Autobahn hatten wir eine Panne mit dem Auto.	We had a breakdown with the car on the highway.	2158
1629	N	der	Papa	Papas			dad; papa	Mein Papa holt mich heute vom Bahnhof ab.	My dad is picking me up from the train station today.	335
1630	N	das	Papier	Papiere			paper; document	Kannst du mir bitte ein Blatt Papier geben?	Can you please give me a sheet of paper?	1102
1631	X		parallel				parallel; simultaneously	Die beiden Straßen verlaufen parallel zueinander.	The two streets run parallel to each other.	2391
1632	N	das	Parfüm	Parfüms			perfume; fragrance	Sie trägt jeden Tag dasselbe Parfüm.	She wears the same perfume every day.	1913
1633	N	der	Park	Parks			park	Im Park treffen sich die Kinder zum Spielen.	The children meet in the park to play.	763
1634	V		parken		geparkt	haben	to park	Hier darf man nicht parken.	You are not allowed to park here.	1759
1635	N	das	Parkhaus	Parkhäuser			multi-story car park	Wir haben das Auto im Parkhaus in der Stadtmitte abgestellt.	We parked the car in the multi-story car park in the city center.	2281
1636	N	der	Parkplatz	Parkplätze			parking space; car park	Vor dem Supermarkt gibt es einen großen Parkplatz.	There is a large parking lot in front of the supermarket.	1429
1637	N	die	Parkuhr	Parkuhren			parking meter	Vergiss nicht, an der Parkuhr zu bezahlen.	Don't forget to pay at the parking meter.	2503
1638	N	der	Partner	Partner			partner	Mein Partner und ich kochen jeden Abend zusammen.	My partner and I cook together every evening.	535
1639	N	die	Party	Partys			party	Am Wochenende gibt es eine Party bei uns zu Hause.	There is a party at our place this weekend.	401
1640	N	der	Pass	Pässe			passport; mountain pass	Ich muss meinen Pass verlängern lassen.	I need to have my passport renewed.	353
1641	N	der	Passagier	Passagiere			passenger	Der Passagier hat sein Gepäck am Schalter abgegeben.	The passenger checked in his luggage at the counter.	2089
1642	V		passen		gepasst	haben	to fit; to suit	Das blaue Kleid passt dir sehr gut.	The blue dress fits you very well.	675
1643	V		passieren		passiert	sein	to happen; to occur	Der Unfall ist gestern Abend auf der Kreuzung passiert.	The accident happened at the intersection yesterday evening.	424
1644	X		passiv				passive	Er verhält sich bei Diskussionen oft sehr passiv.	He often behaves very passively during discussions.	2475
1645	N	der	Patient	Patienten			patient	Der Patient wartet schon eine Stunde auf den Arzt.	The patient has been waiting for the doctor for an hour.	1203
1646	N	die	Pause	Pausen			break; pause	Nach zwei Stunden machen wir eine kurze Pause.	After two hours, we take a short break.	806
1647	N	das	Pech				bad luck; misfortune	Es war Pech, dass der Bus gerade abgefahren war.	It was bad luck that the bus had just left.	1091
1648	N	die	Pension	Pensionen			pension; guest house	Wir haben in einer gemütlichen Pension am See gewohnt.	We stayed in a cozy guest house by the lake.	1845
1649	X		pensioniert				retired (from public service)	Mein Onkel ist seit drei Jahren pensioniert.	My uncle has been retired for three years.	2350
1650	X		per				by; per; via	Ich schicke dir die Unterlagen per E-Mail.	I will send you the documents by email.	1135
1651	X		perfekt				perfect	Ihr Deutsch ist wirklich perfekt.	Her German is truly perfect.	481
1652	N	die	Person	Personen			person	Im Warteraum sitzt nur noch eine Person.	There is only one person left sitting in the waiting room.	454
1653	X		persönlich				personal; personally	Er hat sich persönlich bei ihr entschuldigt.	He apologized to her personally.	621
1654	N	das	Personal				staff; personnel	Das Personal im Hotel war sehr freundlich und hilfsbereit.	The staff at the hotel was very friendly and helpful.	1393
1655	N	der	Pfeffer				pepper	Gib noch etwas Pfeffer in die Suppe.	Add a bit more pepper to the soup.	2145
1656	N	das	Pferd	Pferde			horse	Das Pferd auf dem Bauernhof ist sehr ruhig.	The horse on the farm is very calm.	603
1657	N	die	Pflanze	Pflanzen			plant	Die Pflanze auf dem Fensterbrett braucht mehr Wasser.	The plant on the windowsill needs more water.	1819
1658	N	das	Pflaster	Pflaster			bandage; plaster	Ich habe mir den Finger geschnitten und brauche ein Pflaster.	I cut my finger and need a bandage.	2100
1659	N	die	Pflaume	Pflaumen			plum	Die Pflaumen im Garten sind schon reif.	The plums in the garden are already ripe.	2428
1660	V		pflegen		gepflegt	haben	to care for; to nurse	Sie pflegt ihre kranke Mutter zu Hause.	She cares for her sick mother at home.	1999
1661	N	der	Pfleger	Pfleger			male nurse; caregiver	Der Pfleger kümmert sich liebevoll um die alten Menschen.	The male nurse takes loving care of the elderly people.	2180
1662	N	die	Pflegeversicherung	Pflegeversicherungen			long-term care insurance	Die Pflegeversicherung zahlt einen Teil der Kosten im Pflegeheim.	Long-term care insurance covers part of the costs in a nursing home.	2625
1663	N	die	Pflicht	Pflichten			duty; obligation	Es ist deine Pflicht, die Hausaufgaben zu machen.	It is your duty to do the homework.	907
1664	N	die	Phantasie	Phantasien			imagination; fantasy	Das Kind hat eine lebhafte Phantasie und erfindet tolle Geschichten.	The child has a vivid imagination and makes up wonderful stories.	2099
1665	N	die	Philosophie	Philosophien			philosophy	Im Studium hat er sich intensiv mit der Philosophie beschäftigt.	During his studies, he engaged intensively with philosophy.	1887
1666	N	die	Physik				physics	In der Schule ist Physik mein liebstes Fach.	At school, physics is my favorite subject.	2055
1667	N	das	Picknick	Picknicks			picnic	Am Sonntag haben wir ein Picknick im Park gemacht.	On Sunday, we had a picnic in the park.	1833
1668	N	die	Pille	Pillen			pill; tablet	Der Arzt hat mir eine Pille gegen die Kopfschmerzen verschrieben.	The doctor prescribed me a pill for the headache.	1683
1669	N	der	Pilz	Pilze			mushroom; fungus	Im Wald haben wir viele Pilze gefunden.	We found many mushrooms in the forest.	2277
1670	N	der	PKW	PKWs			car; private motor vehicle	Der PKW steht seit Tagen auf dem Parkplatz.	The car has been sitting in the parking lot for days.	2626
1671	V		planen		geplant	haben	to plan	Wir planen eine Reise nach Spanien für nächsten Sommer.	We are planning a trip to Spain for next summer.	1281
1672	N	der	Plan	Pläne			plan; map	Hast du einen Plan für das Wochenende?	Do you have a plan for the weekend?	349
1673	N	das	Plastik				plastic	Viele Verpackungen bestehen noch immer aus Plastik.	Many packaging materials are still made of plastic.	1992
1674	N	der	Platz	Plätze			place; seat; square	Ist dieser Platz noch frei?	Is this seat still free?	333
1675	X		plötzlich				suddenly; all of a sudden	Plötzlich fing es an zu regnen.	Suddenly it started to rain.	491
1676	N	die	Politik				politics; policy	Mein Vater interessiert sich sehr für Politik.	My father is very interested in politics.	1147
1677	N	der	Politiker	Politiker			politician	Der Politiker hat eine wichtige Rede im Parlament gehalten.	The politician gave an important speech in parliament.	1598
1678	X		politisch				political	Es war eine schwierige politische Entscheidung.	It was a difficult political decision.	1990
1679	N	die	Polizei				police	Die Polizei ist schnell am Unfallort eingetroffen.	The police arrived quickly at the scene of the accident.	223
1680	N	der	Polizist	Polizisten			police officer	Der Polizist hat den Autofahrer nach seinem Führerschein gefragt.	The police officer asked the driver for his license.	786
1681	N	die	Pommes	Pommes frites			french fries; chips	Zu dem Burger habe ich Pommes bestellt.	I ordered french fries with the burger.	1802
1682	N	die	Portion	Portionen			portion; serving	Eine Portion Suppe kostet fünf Euro.	A serving of soup costs five euros.	2104
1683	X		positiv				positive	Sie hat eine sehr positive Einstellung zum Leben.	She has a very positive attitude toward life.	1391
1684	N	die	Post				mail; post office	Ich muss zur Post gehen und ein Paket abholen.	I need to go to the post office and pick up a package.	979
1685	N	das	Postfach	Postfächer			post office box; PO box	Briefe an die Firma kommen in ein Postfach.	Letters to the company go to a PO box.	2408
1686	N	die	Postkarte	Postkarten			postcard	Aus dem Urlaub habe ich meiner Oma eine Postkarte geschickt.	I sent my grandmother a postcard from vacation.	2234
1687	N	die	Postleitzahl	Postleitzahlen			postal code; zip code	Bitte gib deine Postleitzahl in das Formular ein.	Please enter your postal code in the form.	2522
1688	N	das	Praktikum	Praktika			internship; practical training	Sie macht ein Praktikum in einer Arztpraxis.	She is doing an internship at a doctor's office.	2149
1689	N	der	Praktikant	Praktikanten			intern; trainee	Der Praktikant hilft uns seit zwei Wochen im Büro.	The intern has been helping us in the office for two weeks.	2432
1690	X		praktisch				practical; handy	Diese kleine Tasche ist sehr praktisch für Ausflüge.	This small bag is very practical for day trips.	1078
1691	X		präsentieren				to present	Er präsentiert seine Ideen vor dem Team.	He presents his ideas in front of the team.	1625
1692	N	die	Praxis				practice; doctor's office	Die Praxis des Arztes öffnet um acht Uhr morgens.	The doctor's office opens at eight in the morning.	1532
1693	N	der	Preis	Preise			price; prize	Der Preis für diesen Mantel ist zu hoch.	The price for this coat is too high.	590
1694	X		preiswert				affordable; good value	Das Restaurant ist preiswert und das Essen schmeckt gut.	The restaurant is affordable and the food tastes good.	2532
1695	X		prima				great; excellent	Das Konzert gestern war wirklich prima!	The concert yesterday was really great!	839
1696	X		privat				private	Das ist eine private Angelegenheit, die niemanden etwas angeht.	That is a private matter that is nobody's business.	1497
1697	X		pro				per; for	Das Hotel kostet achtzig Euro pro Nacht.	The hotel costs eighty euros per night.	715
1698	V		probieren		probiert	haben	to try; to taste	Möchtest du diese Torte mal probieren?	Would you like to try this cake?	1013
1699	N	das	Problem	Probleme			problem	Das Problem mit dem Computer ist schwer zu lösen.	The problem with the computer is hard to solve.	181
1700	V		produzieren		produziert	haben	to produce; to manufacture	Die Fabrik produziert täglich tausende von Flaschen.	The factory produces thousands of bottles every day.	1914
1701	N	das	Produkt	Produkte			product	Dieses Produkt ist in vielen Supermärkten erhältlich.	This product is available in many supermarkets.	1725
1702	N	die	Produktion				production	Die Produktion im Werk wurde wegen Wartung unterbrochen.	Production at the plant was halted due to maintenance.	1797
1703	N	der	Professor	Professoren			professor	Der Professor hält jeden Montag eine Vorlesung über Geschichte.	The professor gives a lecture on history every Monday.	625
1704	N	der	Profi	Profis			professional; pro	Er spielt Fußball wie ein echter Profi.	He plays football like a real professional.	1521
1705	N	das	Programm	Programme			program; schedule	Das Programm für das Stadtfest wurde heute veröffentlicht.	The program for the city festival was published today.	951
1706	N	das	Projekt	Projekte			project	Wir arbeiten gerade an einem Projekt für die Schule.	We are currently working on a project for school.	986
1707	N	der	Prospekt	Prospekte			brochure; leaflet	Im Reisebüro habe ich einen Prospekt über Griechenland mitgenommen.	At the travel agency, I took a brochure about Greece.	2493
1708	X		Prost				cheers (toast)	Alle hoben die Gläser und riefen: "Prost!"	Everyone raised their glasses and called out: "Cheers!"	1048
1709	V		protestieren		protestiert	haben	to protest	Viele Menschen protestierten gegen die neuen Preise.	Many people protested against the new prices.	2249
1710	N	der	Protest	Proteste			protest	Der Protest vor dem Rathaus dauerte mehrere Stunden.	The protest in front of the town hall lasted several hours.	2157
1711	N	der	Prozess	Prozesse			process; trial	Der Prozess gegen den Angeklagten beginnt nächste Woche.	The trial against the defendant begins next week.	1027
1712	V		prüfen		geprüft	haben	to check; to examine	Der Mechaniker prüft die Bremsen des Autos.	The mechanic checks the brakes of the car.	1227
1713	N	die	Prüfung	Prüfungen			exam; test	Morgen habe ich eine wichtige Prüfung in Mathematik.	Tomorrow I have an important exam in mathematics.	1348
1714	N	das	Publikum				audience; public	Das Publikum applaudierte nach der Vorstellung laut.	The audience applauded loudly after the performance.	1093
1715	N	der	Pullover	Pullover			sweater; pullover	Im Winter trage ich gerne einen warmen Pullover.	In winter, I like to wear a warm sweater.	1969
1716	N	der	Punkt	Punkte			point; dot; full stop	Ich stimme dir in jedem Punkt zu.	I agree with you on every point.	611
1717	X		pünktlich				on time; punctual	Der Zug ist heute ausnahmsweise pünktlich abgefahren.	The train departed on time today for once.	1219
1718	N	die	Puppe	Puppen			doll; puppet	Das Mädchen hat ihrer Puppe ein neues Kleid angezogen.	The girl put a new dress on her doll.	1370
1719	V		putzen		geputzt	haben	to clean; to brush	Am Samstag putzen wir immer das ganze Haus.	On Saturdays, we always clean the whole house.	1508
1720	N	die	Qualifikation	Qualifikationen			qualification	Für diese Stelle braucht man eine gute Qualifikation.	A good qualification is needed for this position.	2457
1721	N	die	Qualität	Qualitäten			quality	Die Qualität dieser Produkte ist sehr gut.	The quality of these products is very good.	1745
1722	N	der	Quark				quark cheese; curd cheese	Zum Frühstück esse ich oft Quark mit Früchten.	I often eat quark with fruit for breakfast.	2095
1723	N	das	Quartal	Quartale			quarter (of the year)	Der Bericht wird am Ende des Quartals abgegeben.	The report is submitted at the end of the quarter.	2407
1724	N	der	Quatsch				nonsense; rubbish	Das ist doch Quatsch – das kann nicht stimmen.	That is nonsense – that cannot be right.	785
1725	X		quer				across; diagonally	Er lief quer über die Wiese zum Spielplatz.	He ran across the meadow to the playground.	1910
1726	N	die	Querstraße	Querstraßen			side street; cross street	Die Bäckerei ist in der zweiten Querstraße links.	The bakery is in the second side street on the left.	2627
1727	N	die	Quittung	Quittungen			receipt	Kann ich bitte eine Quittung für meinen Einkauf bekommen?	Can I please get a receipt for my purchase?	2005
1728	N	der	Rabatt	Rabatte			discount	Mit dieser Karte bekommt man zehn Prozent Rabatt.	With this card, you get a ten percent discount.	2177
1729	N	das	Rad	Räder			wheel; bicycle	Mein Kind hat ein neues Rad zu Weihnachten bekommen.	My child received a new bicycle for Christmas.	1376
1730	X		Rad fahren				to ride a bicycle	Am Wochenende fahren wir gern am Fluss Rad.	On weekends, we like to ride bikes by the river.	1377
1731	N	der	Radfahrer	Radfahrer			cyclist	Der Radfahrer hat an der roten Ampel angehalten.	The cyclist stopped at the red traffic light.	2538
1732	N	das	Radio	Radios			radio	Morgens höre ich beim Frühstück gerne Radio.	In the mornings, I like to listen to the radio during breakfast.	893
1733	N	der	Rand	Ränder			edge; rim; margin	Am Rand des Weges wachsen viele Wildblumen.	Many wildflowers grow along the edge of the path.	1482
1734	V		rasieren		rasiert	haben	to shave	Er rasiert sich jeden Morgen vor dem Frühstück.	He shaves every morning before breakfast.	1871
1735	V		raten		geraten	haben	to advise; to guess	Mein Arzt hat mir geraten, mehr Sport zu treiben.	My doctor advised me to do more exercise.	937
1736	N	der	Rat				advice; council	Kannst du mir einen guten Rat geben?	Can you give me a good piece of advice?	685
1737	X		Ratschlag				piece of advice; tip	Ihr Ratschlag hat mir wirklich sehr geholfen.	Her piece of advice really helped me a lot.	2051
1738	N	das	Rathaus	Rathäuser			town hall; city hall	Das Rathaus ist das älteste Gebäude in unserer Stadt.	The town hall is the oldest building in our city.	1931
1739	V		rauchen		geraucht	haben	to smoke	Er raucht nicht mehr, seit er krank war.	He no longer smokes since he was ill.	955
1740	N	der	Raucher	Raucher			smoker	In diesem Restaurant gibt es keinen Bereich für Raucher.	There is no area for smokers in this restaurant.	2376
1741	N	der	Raum	Räume			room; space	Der Raum war groß und hell, mit vielen Fenstern.	The room was large and bright, with many windows.	554
1742	V		reagieren		reagiert	haben	to react; to respond	Sie hat sehr ruhig auf die schlechte Nachricht reagiert.	She reacted very calmly to the bad news.	1352
1743	N	die	Reaktion	Reaktionen			reaction; response	Die Reaktion des Publikums auf das Stück war sehr positiv.	The audience's reaction to the play was very positive.	1245
1744	N	die	Realität	Realitäten			reality	Man muss die Realität akzeptieren und vorwärts gehen.	One must accept reality and move forward.	1195
1745	X		realistisch				realistic	Sei realistisch – das schaffst du in einer Woche nicht.	Be realistic – you won't manage that in one week.	1976
1746	V		rechnen		gerechnet	haben	to calculate; to count on	Die Kinder rechnen in der Schule mit großen Zahlen.	The children calculate with large numbers at school.	1483
1747	N	der	Rechner	Rechner			calculator; computer	Ich brauche einen Rechner, um die Zahlen auszurechnen.	I need a calculator to work out the numbers.	2298
1748	N	die	Rechnung	Rechnungen			bill; invoice; calculation	Die Rechnung im Restaurant war höher als erwartet.	The bill at the restaurant was higher than expected.	1000
1749	N	das	Recht	Rechte			right; law	Jeder Mensch hat das Recht auf Bildung.	Every person has the right to education.	135
1750	X		rechtlich				legal; lawful	Das Unternehmen ist rechtlich verpflichtet, die Daten zu schützen.	The company is legally obligated to protect the data.	2263
1751	N	der	Rechtsanwalt	Rechtsanwälte			lawyer; attorney	Ich brauche einen Rechtsanwalt für diesen Vertrag.	I need a lawyer for this contract.	2046
1752	X		recht				quite; rather; right	Das war recht nett von dir, mir zu helfen.	That was quite kind of you to help me.	136
1753	X		rechts				on the right; to the right	Biegen Sie an der Ampel rechts ab.	Turn right at the traffic light.	654
1754	X		recht-				right- (prefix for compounds)	Das Parken hier ist rechtswidrig und wird mit einem Bußgeld bestraft.	Parking here is illegal and is punished with a fine.	137
1755	X		rechtzeitig				on time; in time	Sie kam rechtzeitig am Bahnhof an und hat den Zug noch erwischt.	She arrived at the train station in time and caught the train.	1109
1756	V		reden		geredet	haben	to talk; to speak	Wir müssen ernsthaft über dieses Problem reden.	We need to talk seriously about this problem.	111
1757	N	die	Rede	Reden			speech; talk	Der Bürgermeister hielt eine kurze Rede vor dem Rathaus.	The mayor gave a short speech in front of the town hall.	334
1758	V		reduzieren		reduziert	haben	to reduce; to lower	Das Geschäft hat die Preise um zwanzig Prozent reduziert.	The store reduced the prices by twenty percent.	2129
1759	N	die	Reform	Reformen			reform	Die Regierung plant eine große Reform des Bildungssystems.	The government is planning a major reform of the education system.	2465
